index;budget;genres;original_title;popularity;revenue;runtime;title;vote_average;profit
150;140000000;Action Adventure Comedy Science Fiction;Men in Black II;91332849;441818803;880;Men in Black II;60;301818803
151;70000000;Adventure Action Animation;Beowulf;3,56E+15;195735876;1150;Beowulf;55;125735876
152;145000000;Action Adventure Animation Comedy Family;Kung Fu Panda 3;56747978;521170825;950;Kung Fu Panda 3;67;376170825
153;145000000;Action Thriller Adventure;Mission: Impossible - Ghost Protocol;7,78E+15;694713380;1330;Mission: Impossible - Ghost Protocol;68;549713380
154;145000000;Fantasy Animation Family;Rise of the Guardians;61788035;306941670;970;Rise of the Guardians;71;161941670
155;100000000;Comedy;Fun with Dick and Jane;2,52E+16;202026112;900;Fun with Dick and Jane;59;102026112
156;140000000;Drama Action War History;The Last Samurai;52341226;456758981;1540;The Last Samurai;73;316758981
157;140000000;Adventure Drama Action;Exodus: Gods and Kings;101599427;268031828;1500;Exodus: Gods and Kings;56;128031828
158;150000000;Science Fiction Action Adventure;Star Trek;7,36E+15;385680446;1270;Star Trek;74;235680446
159;139000000;Fantasy Action;Spider-Man;82502566;821708551;1210;Spider-Man;68;682708551
160;145000000;Fantasy Action Adventure Animation Comedy;How to Train Your Dragon 2;10021391;609123048;1020;How to Train Your Dragon 2;76;464123048
161;140000000;Fantasy;Gods of Egypt;56257249;150680864;1270;Gods of Egypt;53;10680864
162;135000000;Action;Stealth;1788953;76932943;1210;Stealth;49;-58067057
163;130000000;Action Mystery Science Fiction;Watchmen;64798873;185258983;1630;Watchmen;70;55258983
164;140000000;Action Adventure Comedy Crime Thriller;Lethal Weapon 4;24855701;285444603;1270;Lethal Weapon 4;63;145444603
165;137000000;Drama Action Science Fiction;Hulk;34981698;245360480;1380;Hulk;53;108360480
166;130000000;Adventure Action Science Fiction Thriller;G.I. Joe: Retaliation;59325589;371876278;1100;G.I. Joe: Retaliation;54;241876278
167;130000000;Action Adventure Comedy Drama Mystery;Sahara;2,16E+16;119269486;1240;Sahara;57;-10730514
168;137000000;Adventure Action Animation Fantasy Science Fiction;Final Fantasy: The Spirits Within;2,61E+16;85131830;1060;Final Fantasy: The Spirits Within;59;-51868170
169;140000000;Action Adventure Science Fiction;Captain America: The First Avenger;7,45E+15;370569774;1240;Captain America: The First Avenger;66;230569774
170;135000000;Adventure Action Thriller;The World Is Not Enough;39604363;361832400;1280;The World Is Not Enough;60;226832400
171;150000000;Adventure;Master and Commander: The Far Side of the World;36973031;212011111;1380;Master and Commander: The Far Side of the World;69;62011111
172;120000000;Adventure Fantasy Drama Romance;The Twilight Saga: Breaking Dawn - Part 2;99687084;829000000;1150;The Twilight Saga: Breaking Dawn - Part 2;61;709000000
173;130000000;Animation Comedy Family;Happy Feet Two;177735;150406466;1000;Happy Feet Two;58;20406466
174;150000000;Science Fiction Action Adventure;The Incredible Hulk;62898336;163712074;1140;The Incredible Hulk;61;13712074
175;140000000;Adventure Family Fantasy;The BFG;4419092;183345589;1200;The BFG;60;43345589
176;135000000;Western Drama Adventure Thriller;The Revenant;100635882;532950503;1560;The Revenant;73;397950503
177;135000000;Animation Family;Turbo;44765377;282570682;960;Turbo;61;147570682
178;135000000;Animation Comedy Family Western Adventure;Rango;2,99E+16;245724603;1070;Rango;66;110724603
179;132000000;Family Animation Adventure Comedy;Penguins of Madagascar;84366984;373552094;920;Penguins of Madagascar;65;241552094
180;70000000;Action Drama Mystery Thriller;The Bourne Ultimatum;45381501;442824138;1150;The Bourne Ultimatum;73;372824138
181;130000000;Adventure Animation Family Comedy;Kung Fu Panda;8,47E+15;631744560;900;Kung Fu Panda;69;501744560
182;130000000;Science Fiction Action Adventure;Ant-Man;1,20E+16;519311965;1170;Ant-Man;70;389311965
183;130000000;Adventure Action Science Fiction;The Hunger Games: Catching Fire;76310119;847423452;1460;The Hunger Games: Catching Fire;74;717423452
184;135000000;Fantasy Comedy Animation Science Fiction Family;Home;63473086;368871007;940;Home;68;233871007
185;132000000;Adventure Thriller Science Fiction;War of the Worlds;48572726;591739379;1160;War of the Worlds;62;459739379
186;130000000;Adventure Action Comedy Thriller Crime;Bad Boys II;38068736;273339556;1470;Bad Boys II;63;143339556
187;130000000;Action Adventure Animation Family Fantasy;Puss in Boots;20678787;554987477;900;Puss in Boots;64;424987477
188;110000000;Action Mystery Thriller;Salt;48829437;293329073;1000;Salt;62;183329073
189;125000000;Drama Adventure;Noah;46115758;362637473;1390;Noah;56;237637473
190;130000000;Adventure Animation Mystery;The Adventures of Tintin;89938296;371940071;1070;The Adventures of Tintin;67;241940071
191;130000000;Adventure Fantasy Family;Harry Potter and the Prisoner of Azkaban;79679601;789804554;1410;Harry Potter and the Prisoner of Azkaban;77;659804554
192;130000000;Drama;Australia;2,88E+16;49554002;1650;Australia;63;-80445998
193;130000000;Science Fiction Action Adventure;After Earth;42840582;243843127;1000;After Earth;50;113843127
194;127500000;Animation Family;Dinosaur;26548594;354248063;820;Dinosaur;62;226748063
195;127000000;Adventure Comedy Fantasy Family;Night at the Museum: Secret of the Tomb;115597753;349424282;970;Night at the Museum: Secret of the Tomb;61;222424282
196;130000000;Animation Action Comedy Family Science Fiction;Megamind;68757242;321887208;950;Megamind;67;191887208
197;125000000;Adventure Fantasy Family;Harry Potter and the Philosopher's Stone;109984351;976475550;1520;Harry Potter and the Philosopher's Stone;75;851475550
198;130000000;Fantasy Action Comedy Crime;R.I.P.D.;39448066;61648500;960;R.I.P.D.;54;-68351500
199;140000000;Adventure Fantasy Action;Pirates of the Caribbean: The Curse of the Black Pearl;271972889;655011224;1430;Pirates of the Caribbean: The Curse of the Black Pearl;75;515011224
200;125000000;Science Fiction Adventure Thriller;The Hunger Games: Mockingjay - Part 1;206227151;752100229;1230;The Hunger Games: Mockingjay - Part 1;66;627100229
201;125000000;Thriller Mystery;The Da Vinci Code;4,53E+16;767820459;1490;The Da Vinci Code;65;642820459
202;103000000;Animation Adventure Comedy Family;Rio 2;4,24E+16;500188435;1020;Rio 2;63;397188435
203;110000000;Adventure Action Science Fiction Thriller;X2;2871739;407711549;1330;X2;68;297711549
204;125000000;Action Thriller Crime;Fast Five;7,26E+15;626137675;1300;Fast Five;71;501137675
205;125000000;Adventure Action Crime Mystery;Sherlock Holmes: A Game of Shadows;8,15E+15;334615000;1290;Sherlock Holmes: A Game of Shadows;70;209615000
206;125000000;Adventure Fantasy Action;Clash of the Titans;47686442;232713139;1060;Clash of the Titans;56;107713139
207;65000000;Action Adventure Science Fiction;Total Recall;4,31E+16;261317921;1130;Total Recall;71;196317921
208;160000000;Adventure Fantasy Action;The 13th Warrior;27220157;61698899;1020;The 13th Warrior;64;-98301101
209;130000000;Action Thriller;The Bourne Legacy;9033681;276572938;1200;The Bourne Legacy;60;146572938
210;125000000;Action Crime Fantasy;Batman & Robin;50073575;238207122;1250;Batman & Robin;42;113207122
211;123000000;Family Comedy Fantasy;How the Grinch Stole Christmas;45419668;345141403;1040;How the Grinch Stole Christmas;62;222141403
212;125000000;Action Adventure Science Fiction Thriller;The Day After Tomorrow;41380094;544272402;1240;The Day After Tomorrow;62;419272402
213;125000000;Adventure Action Thriller;Mission: Impossible II;54931334;546388105;1230;Mission: Impossible II;59;421388105
214;120000000;Drama;The Perfect Storm;25752118;325756637;1300;The Perfect Storm;62;205756637
215;130000000;Adventure Fantasy Action Thriller;4: Rise of the Silver Surfer;6,08E+16;289047763;920;Fantastic 4: Rise of the Silver Surfer;54;159047763
216;120000000;Adventure Drama Action;Life of Pi;51328145;609016565;1270;Life of Pi;72;489016565
217;110000000;Thriller Action Fantasy Horror;Ghost Rider;4,68E+16;228738393;1140;Ghost Rider;52;118738393
218;120000000;Action Thriller;Jason Bourne;62641286;415484914;1230;Jason Bourne;59;295484914
219;120000000;Action Adventure Comedy;Charlie's Angels: Full Throttle;33616115;259175788;1060;Charlie's Angels: Full Throttle;52;139175788
220;130000000;Science Fiction Adventure Mystery;Prometheus;68889395;403170142;1240;Prometheus;63;273170142
221;120000000;Family Adventure Animation Comedy;Stuart Little 2;2,80E+15;169956806;780;Stuart Little 2;54;49956806
222;115000000;Science Fiction Action Drama Thriller;Elysium;6,73E+15;286140700;1090;Elysium;64;171140700
223;105000000;Action Science Fiction;The Chronicles of Riddick;2,78E+16;115772733;1190;The Chronicles of Riddick;63;10772733
224;120000000;Action Science Fiction;RoboCop;66757869;242688965;1020;RoboCop;57;122688965
225;120000000;Action Family Science Fiction;Speed Racer;1,71E+16;93945766;1350;Speed Racer;57;-26054234
226;120000000;Comedy Drama Romance;How Do You Know;11137655;48668907;1210;How Do You Know;49;-71331093
227;117000000;Action Comedy;Knight and Day;44906918;261930431;1090;Knight and Day;59;144930431
228;120000000;Action Science Fiction Adventure Mystery;Oblivion;67698004;286168572;1240;Oblivion;64;166168572
229;113000000;Science Fiction Adventure Action;Star Wars: Episode III - Revenge of the Sith;44108427;850000000;1400;Star Wars: Episode III - Revenge of the Sith;71;737000000
230;120000000;Adventure Action Science Fiction;Star Wars: Episode II - Attack of the Clones;43987061;649398328;1420;Star Wars: Episode II - Attack of the Clones;64;529398328
231;115000000;Animation Comedy Family;Monsters, Inc.;106815545;562816256;920;Monsters, Inc.;75;447816256
232;120000000;Action Science Fiction Adventure Fantasy;The Wolverine;1,60E+16;415440673;1260;The Wolverine;63;295440673
233;115000000;Adventure Action Science Fiction;Star Wars: Episode I - The Phantom Menace;54035265;924317558;1360;Star Wars: Episode I - The Phantom Menace;63;809317558
234;135000000;Adventure Animation Comedy Family Fantasy;The Croods;6,42E+15;585178928;980;The Croods;68;450178928
235;97250400;Fantasy Adventure Comedy Family;Astérix aux Jeux Olympiques;2,03E+16;132900000;1160;Asterix at the Olympic Games;50;35649600
236;115000000;Drama Action History War;Windtalkers;18714197;77628265;1340;Windtalkers;58;-37371735
237;115000000;Action Adventure Drama;The Huntsman: Winter's War;6,05E+16;164602163;1140;The Huntsman: Winter's War;60;49602163
238;125000000;Science Fiction Action Adventure Fantasy Comedy;Teenage Mutant Ninja Turtles;143350376;477200000;1010;Teenage Mutant Ninja Turtles;58;352200000
239;105000000;Science Fiction Thriller Drama;Gravity;110153618;716392705;910;Gravity;73;611392705
240;116000000;Action Adventure Thriller;Dante's Peak;1690444;178127760;1080;Dante's Peak;57;62127760
241;135000000;Fantasy Action Adventure Comedy;Teenage Mutant Ninja Turtles: Out of the Shadows;39873791;245623848;1120;Teenage Mutant Ninja Turtles: Out of the Shadows;58;110623848
242;120000000;Action Adventure Science Fiction;Fantastic Four;38126095;167977596;1000;Fantastic Four;44;47977596
243;110000000;Action Adventure Comedy Family Fantasy;Night at the Museum;48780039;574480841;1080;Night at the Museum;63;464480841
